Type	Year	ID	True	Observer	Estimate
Aerial	1993/1994	A	3	DJR	5
Aerial	1993/1994	B	5	DJR	4
Aerial	1993/1994	D	1	DJR	1
Aerial	1993/1994	E	1	DJR	1
Aerial	1993/1994	F	2	DJR	1
Aerial	1993/1994	I	1	DJR	1
Aerial	1993/1994	J	3	DJR	3
Aerial	1993/1994	K	2	DJR	2
Aerial	1993/1994	L	1	DJR	1
Aerial	1993/1994	M	2	DJR	1
Aerial	1993/1994	N	2	DJR	3
Aerial	1993/1994	O	1	DJR	1
Aerial	1993/1994	P	1	DJR	1
Aerial	1993/1994	Q	8	DJR	4
Aerial	1993/1994	R	4	DJR	2
Aerial	1993/1994	S	2	DJR	1
Aerial	1993/1994	T	1	DJR	1
Aerial	1993/1994	U2	2	DJR	2
Aerial	1993/1994	W	2	DJR	2
Aerial	1993/1994	X	6	DJR	1
Aerial	1993/1994	Y	3	DJR	2
Aerial	1993/1994	Z	1	DJR	1
Aerial	1993/1994	AA	4	DJR	4
Aerial	1993/1994	BB	2	DJR	1
Tracking	1997/1998	10	2	DJR	2
Tracking	1997/1998	11	2	DJR	1
Tracking	1997/1998	24	2	DJR	1
Tracking	1997/1998	26	1	DJR	1
Tracking	1997/1998	27	1	DJR	1
Tracking	1997/1998	29	1	DJR	1
Tracking	1997/1998	30	2	DJR	2
Tracking	1997/1998	31	1	DJR	1
Tracking	1997/1998	37	2	DJR	1
Tracking	1997/1998	38	1	DJR	1
Tracking	1997/1998	39	4	DJR	1
Tracking	1997/1998	40	2	DJR	3
